"","year_commencing","yQ","operator","region","ppm","p_journey_millions","p_km_billions","trains_planned","yrly_stations_managed","yrly_fte","p_journeys_per_fte","p_km_per_fte","trains_planned_per_fte","p_journeys_per_station","p_km_per_station","trains_planned_per_station"
"1",2021,2021 Q1,"Avanti West Coast","longdistance",86.9793360087905,1.10915027231676,0.193440032725012,15049,16,3326,333.478734911834,58159.9617333169,4.52465423932652,69321.8920197975,12090002.0453133,940.5625
"2",2021,2021 Q1,"c2c","lse",95.0332245173912,3.56128117046731,0.0773176666111713,21870,25,647.76,5497.84051263942,119361.594743688,33.7625046313449,142451.246818692,3092706.66444685,874.8
"3",2021,2021 Q1,"Caledonian Sleeper","regional",79.8853016142735,0.0217959031016813,0.0172691559990498,168,0,184,118.455995117833,93854.108690488,0.91304347826087,NA,NA,NA
"4",2021,2021 Q1,"Chiltern Railways","lse",95.4718284368908,0.863184562660097,0.0371583869980002,21510,35,850,1015.51125018835,43715.749409412,25.3058823529412,24662.4160760028,1061668.19994286,614.571428571429
"5",2021,2021 Q1,"CrossCountry","longdistance",91.2624412333527,1.18511848032654,0.104767506775204,15900,0,1961,604.343947132351,53425.5516446731,8.10810810810811,NA,NA,NA
"6",2021,2021 Q1,"East Midlands Railway","mutli",93.8961824583143,0.990410191102542,0.0822274573026184,34124,90,2504.11,395.513851668873,32836.9988948642,13.6271968883156,11004.5576789171,913638.414473538,379.155555555556
"7",2021,2021 Q1,"Elizabeth line","lse",95.5763526401709,4.20102262493936,0.0521680129395749,45199,24,1425.2,2947.67234418984,36603.9944846863,31.7141453831041,175042.609372473,2173667.20581562,1883.29166666667
"8",2021,2021 Q1,"Govia Thameslink Railway","lse",89.737540641811,15.4924930823304,0.339713882553883,270921,235,7481.27,2070.83731536629,45408.5847127404,36.213236522676,65925.5024780017,1445590.98959099,1152.85531914894
"9",2021,2021 Q1,"Great Western Railway","mutli",94.61223084463,3.38251357735782,0.189604894581028,102276,194,6408.23,527.838978525711,29587.7168236827,15.9601013072252,17435.6369966898,977344.817427979,527.19587628866
"10",2021,2021 Q1,"Greater Anglia","mutli",94.1076146448423,3.90009120705819,0.149682071266798,88704,133,2867,1360.33875376986,52208.6052552487,30.9396581792815,29323.9940380315,1125429.10726916,666.947368421053
"11",2021,2021 Q1,"London North Eastern Railway","mutli",90.2582572330801,0.768279697273665,0.196929366260641,10462,11,3005,255.66712055696,65533.8989220103,3.48153078202995,69843.6088430605,17902669.6600583,951.090909090909
"12",2021,2021 Q1,"London Overground","lse",96.286359270322,13.5382783949965,0.0916966112923726,123369,81,1534,8825.47483376565,59776.1481697344,80.4230769230769,167139.239444401,1132056.92953546,1523.07407407407
"13",2021,2021 Q1,"Merseyrail","regional",96.8456264337335,1.79703714077168,0.0329487890235568,33535,66,1128.5,1592.41217613795,29196.9774245076,29.7164377492246,27227.8354662376,499224.076114497,508.106060606061
"14",2021,2021 Q1,"Northern Trains","regional",93.0317689822224,4.59393431220646,0.119940447085418,166285,477,6666,689.159062737243,17992.8663494476,24.9452445244524,9630.88954340977,251447.478166495,348.605870020964
"15",2021,2021 Q1,"ScotRail","regional",93.0207776534156,2.32852130741944,0.0582078344568004,145122,355,5211,446.847305204268,11170.1850809442,27.8491652274036,6559.2149504773,163965.730864226,408.794366197183
"16",2021,2021 Q1,"South Western Railway","lse",94.3204682984414,8.42040543242491,0.190021326836007,114237,187,5643,1492.18597065832,33673.8130136465,20.244019138756,45028.9060557482,1016156.82800004,610.893048128342
"17",2021,2021 Q1,"Southeastern","lse",92.1771823689207,9.02184892824651,0.212645408139208,127355,164,4480,2013.80556434074,47465.4928882161,28.4274553571429,55011.2739527226,1296618.34231224,776.55487804878
"18",2021,2021 Q1,"TfW Rail","regional",92.903792679271,0.858573262279056,0.0316700558286888,51824,248,2585,332.136658521878,12251.4722741543,20.0479690522244,3461.98896080265,127701.838018906,208.967741935484
"19",2021,2021 Q1,"TransPennine Express","regional",91.730900872073,0.936701450025162,0.06121147537498,17634,19,1427.5,656.1831523819,42880.1929071664,12.3530647985989,49300.0763171138,3221656.59868316,928.105263157895
"20",2021,2021 Q1,"Heathrow Express","lse",86.3682133402627,0.051768,0.001333000323072,8796,3,163,317.59509202454,8177.91609246626,53.9631901840491,17256,444333.441024,2932
"21",2021,2021 Q2,"Avanti West Coast","longdistance",86.7654224734431,3.38451327999999,0.660588275507339,17590,16,3326,1017.59268791341,198613.432203048,5.28863499699339,211532.079999999,41286767.2192087,1099.375
"22",2021,2021 Q2,"c2c","lse",95.7012934406854,5.79474775,0.123189531565478,25745,25,647.76,8945.82522847968,190177.737997836,39.7446585154996,231789.91,4927581.26261912,1029.8
"23",2021,2021 Q2,"Caledonian Sleeper","regional",90.2348578491965,0.04626579,0.0322774617500121,347,0,184,251.444510869565,175420.987771805,1.88586956521739,NA,NA,NA
"24",2021,2021 Q2,"Chiltern Railways","lse",94.3879668594785,2.51110035,0.125908546400904,27192,35,850,2954.23570588235,148127.701648122,31.9905882352941,71745.7242857143,3597387.04002583,776.914285714286
"25",2021,2021 Q2,"CrossCountry","longdistance",91.0312379483224,3.34988411,0.301526903822791,18521,0,1961,1708.25298827129,153761.807150837,9.44467108618052,NA,NA,NA
"26",2021,2021 Q2,"East Midlands Railway","mutli",88.5601402238737,2.95835270999999,0.2415200518866,40099,90,2504.11,1181.39886426714,96449.4578459413,16.0132741772526,32870.5856666666,2683556.13207333,445.544444444444
