"","year_commencing","yQ","operator","region","ppm","p_journey_millions","p_km_billions","trains_planned","number_of_trains_part_cancelled","number_of_trains_full_cancelled","cancellations","quarterly_cancellations_percent","yrly_passenger_journeys","yrly_passenger_k_ms","yrly_complaints_per_100k","yrly_stations_managed","yrly_fte","yrly_cancellations_percentage","yrly_on_time_percentage","yrly_complaints_closed","yrly_priv_track_and_signalling","yrly_priv_rolling_stock","yrly_priv_stations_and_depot","yrly_priv_other_investment","yrly_priv_total_investment","yrly_gov_operational_funding_payments_to_or_from_franchised_train_operators","yrly_gov_operational_funding_passenger_transport_executive_grants","yrly_gov_operational_funding_payments_to_infrastructure_managers","yrly_gov_enhancements_funding_network_rail_enhancements_spend_or_grant","yrly_gov_miscellaneous","yrly_gov_total_investment","yrly_priv_track_and_signalling_roll_1","yrly_priv_track_and_signalling_roll_3","yrly_priv_track_and_signalling_roll_5","yrly_priv_track_and_signalling_roll_10","yrly_priv_rolling_stock_roll_1","yrly_priv_rolling_stock_roll_3","yrly_priv_rolling_stock_roll_5","yrly_priv_rolling_stock_roll_10","yrly_priv_stations_and_depot_roll_1","yrly_priv_stations_and_depot_roll_3","yrly_priv_stations_and_depot_roll_5","yrly_priv_stations_and_depot_roll_10","yrly_priv_other_investment_roll_1","yrly_priv_other_investment_roll_3","yrly_priv_other_investment_roll_5","yrly_priv_other_investment_roll_10","yrly_priv_total_investment_roll_1","yrly_priv_total_investment_roll_3","yrly_priv_total_investment_roll_5","yrly_priv_total_investment_roll_10","yrly_gov_operational_funding_payments_to_or_from_franchised_train_operators_roll_1","yrly_gov_operational_funding_payments_to_or_from_franchised_train_operators_roll_3","yrly_gov_operational_funding_payments_to_or_from_franchised_train_operators_roll_5","yrly_gov_operational_funding_payments_to_or_from_franchised_train_operators_roll_10","yrly_gov_operational_funding_passenger_transport_executive_grants_roll_1","yrly_gov_operational_funding_passenger_transport_executive_grants_roll_3","yrly_gov_operational_funding_passenger_transport_executive_grants_roll_5","yrly_gov_operational_funding_passenger_transport_executive_grants_roll_10","yrly_gov_operational_funding_payments_to_infrastructure_managers_roll_1","yrly_gov_operational_funding_payments_to_infrastructure_managers_roll_3","yrly_gov_operational_funding_payments_to_infrastructure_managers_roll_5","yrly_gov_operational_funding_payments_to_infrastructure_managers_roll_10","yrly_gov_enhancements_funding_network_rail_enhancements_spend_or_grant_roll_1","yrly_gov_enhancements_funding_network_rail_enhancements_spend_or_grant_roll_3","yrly_gov_enhancements_funding_network_rail_enhancements_spend_or_grant_roll_5","yrly_gov_enhancements_funding_network_rail_enhancements_spend_or_grant_roll_10","yrly_gov_miscellaneous_roll_1","yrly_gov_miscellaneous_roll_3","yrly_gov_miscellaneous_roll_5","yrly_gov_miscellaneous_roll_10","yrly_gov_total_investment_roll_1","yrly_gov_total_investment_roll_3","yrly_gov_total_investment_roll_5","yrly_gov_total_investment_roll_10","p_journeys_per_fte","p_km_per_fte","trains_planned_per_fte","p_journeys_per_station","p_km_per_station","trains_planned_per_station"
"1",2021,2021 Q1,"Avanti West Coast","longdistance",86.9793360087905,1.10915027231676,0.193440032725012,15049,278,217,356,2.4,21.55689249,4.22548014154983,163.710980218374,16,3326,3.9,52.9711351,35291,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,333.478734911834,58159.9617333169,4.52465423932652,69321.8920197975,12090002.0453133,940.5625
"2",2021,2021 Q1,"c2c","lse",95.0332245173912,3.56128117046731,0.0773176666111713,21870,239,214,333,1.5,28.06151671,0.621998401934891,23.3950290992664,25,647.76,1.3,83.4786297,6565,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,5497.84051263942,119361.594743688,33.7625046313449,142451.246818692,3092706.66444685,874.8
"3",2021,2021 Q1,"Caledonian Sleeper","regional",79.8853016142735,0.0217959031016813,0.0172691559990498,168,13,13,19,11.5,0.22183632,0.149958397965784,448.979680153367,0,184,5.5,68.3436895,996,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,118.455995117833,93854.108690488,0.91304347826087,NA,NA,NA
"4",2021,2021 Q1,"Chiltern Railways","lse",95.4718284368908,0.863184562660097,0.0371583869980002,21510,199,248,348,1.6,14.27431114,0.750552989640157,16.0568168755778,35,850,2,74.237186,2292,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,1015.51125018835,43715.749409412,25.3058823529412,24662.4160760028,1061668.19994286,614.571428571429
"5",2021,2021 Q1,"CrossCountry","longdistance",91.2624412333527,1.18511848032654,0.104767506775204,15900,499,152,401,2.5,20.61989142,1.81429818041742,45.5579508575318,0,1961,2.8,60.05195,9394,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,604.343947132351,53425.5516446731,8.10810810810811,NA,NA,NA
"6",2021,2021 Q1,"East Midlands Railway","mutli",93.8961824583143,0.990410191102542,0.0822274573026184,34124,411,411,616,1.8,17.99742861,1.48852516876373,61.5643503308223,90,2504.11,2.9,58.2369851,11080,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,395.513851668873,32836.9988948642,13.6271968883156,11004.5576789171,913638.414473538,379.155555555556
"7",2021,2021 Q1,"Elizabeth line","lse",95.5763526401709,4.20102262493936,0.0521680129395749,45199,562,525,806,1.8,37.37167741,0.459842545180085,1.63760377487428,24,1425.2,2.2,84.7360191,612,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,2947.67234418984,36603.9944846863,31.7141453831041,175042.609372473,2173667.20581562,1883.29166666667
"8",2021,2021 Q1,"Govia Thameslink Railway","lse",89.737540641811,15.4924930823304,0.339713882553883,270921,5730,6886,9751,3.6,179.000656326282,4.69547420352401,16.4200515256348,235,7481.27,5.7,74.9214753,29392,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,2070.83731536629,45408.5847127404,36.213236522676,65925.5024780017,1445590.98959099,1152.85531914894
"9",2021,2021 Q1,"Great Western Railway","mutli",94.61223084463,3.38251357735782,0.189604894581028,102276,822,1297,1708,1.7,55.14233387,3.80445847297515,48.6286997993548,194,6408.23,3,70.8248896,26815,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,527.838978525711,29587.7168236827,15.9601013072252,17435.6369966898,977344.817427979,527.19587628866
"10",2021,2021 Q1,"Greater Anglia","mutli",94.1076146448423,3.90009120705819,0.149682071266798,88704,848,1369,1793,2,49.5844665371045,2.10221202837505,36.5356355834618,133,2867,1.8,85.8285559,18116,29.2571271403115,610.169049592079,175.021228444105,92.7009531258261,907.148358302322,7879.8,129.5,7805.6,2127.8,234,18176.7,61.719068271677,80.1044088897237,99.454763519674,107.604416798281,1118.99654489651,2051.91001580791,4372.54046619679,8126.31336171184,351.890650737573,466.807122835772,702.2020935776,764.523301843909,174.110826924153,313.920846020632,731.308237798505,1323.39958850895,1706.71709082991,2912.74239355403,5905.50556109256,10321.840668863,20407.3,21754.5,21668.7,17849.5,258.4,393.9,626.3,1658.4,16068.3,22617.6,32947.8,58817.1,4133.3,6404.4,14693.1,34384.4,396.2,751.7,1375.5,3064.1,41263.5,51922.1,71311.4,115773.5,1360.33875376986,52208.6052552487,30.9396581792815,29323.9940380315,1125429.10726916,666.947368421053
